2024-11-10 17:34:57 - {'err_cnt': 114, 'all_cnt': 178, 'detect_accur': 0.6404494382022472, 'transmission_time': 33.404239654541016, 'send_rounds': 6, 'speed': 299.36319770836593, 'qrcode_type': 5, 'use_compress': 1}
2024-11-10 17:36:24 - {'err_cnt': 216, 'all_cnt': 400, 'detect_accur': 0.54, 'transmission_time': 67.94663548469543, 'send_rounds': 7, 'speed': 147.17432185810642, 'qrcode_type': 5, 'use_compress': 1}
2024-11-10 17:37:14 - {'err_cnt': 51, 'all_cnt': 98, 'detect_accur': 0.5204081632653061, 'transmission_time': 15.25466251373291, 'send_rounds': 6, 'speed': 655.537281863664, 'qrcode_type': 5, 'use_compress': 1}
2024-11-10 17:38:02 - {'err_cnt': 97, 'all_cnt': 156, 'detect_accur': 0.6217948717948718, 'transmission_time': 26.18833088874817, 'send_rounds': 7, 'speed': 381.8494596880363, 'qrcode_type': 5, 'use_compress': 1}
2024-11-10 17:39:22 - {'err_cnt': 102, 'all_cnt': 194, 'detect_accur': 0.5257731958762887, 'transmission_time': 29.10859990119934, 'send_rounds': 9, 'speed': 343.541085244295, 'qrcode_type': 6, 'use_compress': 1}
2024-11-10 17:40:14 - {'err_cnt': 78, 'all_cnt': 128, 'detect_accur': 0.609375, 'transmission_time': 26.26990270614624, 'send_rounds': 8, 'speed': 380.66376232373136, 'qrcode_type': 7, 'use_compress': 1}
2024-11-10 17:40:50 - {'err_cnt': 67, 'all_cnt': 98, 'detect_accur': 0.6836734693877551, 'transmission_time': 21.452285766601562, 'send_rounds': 8, 'speed': 466.1507919854726, 'qrcode_type': 7, 'use_compress': 1}
2024-11-10 17:43:31 - {'err_cnt': 55, 'all_cnt': 175, 'detect_accur': 0.3142857142857143, 'transmission_time': 21.1572048664093, 'send_rounds': 7, 'speed': 472.65222713217275, 'qrcode_type': 3, 'use_compress': 0}
2024-11-10 17:45:01 - {'err_cnt': 72, 'all_cnt': 572, 'detect_accur': 0.1258741258741259, 'transmission_time': 47.01332092285156, 'send_rounds': 4, 'speed': 212.70567157784728, 'qrcode_type': 3, 'use_compress': 0}
2024-11-10 19:09:02 - {'err_cnt': 52, 'all_cnt': 98, 'detect_accur': 0.5306122448979592, 'transmission_time': 17.993117809295654, 'send_rounds': 6, 'speed': 555.7680500948965, 'qrcode_type': 3, 'use_compress': 1}
2024-11-10 19:12:22 - {'err_cnt': 105, 'all_cnt': 162, 'detect_accur': 0.6481481481481481, 'transmission_time': 30.469131231307983, 'send_rounds': 7, 'speed': 328.201021685997, 'qrcode_type': 3, 'use_compress': 1}
2024-11-10 19:21:49 - {'err_cnt': 47, 'all_cnt': 146, 'detect_accur': 0.3219178082191781, 'transmission_time': 20.30981469154358, 'send_rounds': 6, 'speed': 492.3727838917069, 'qrcode_type': 3, 'use_compress': 1}
2024-11-10 19:22:17 - {'err_cnt': 43, 'all_cnt': 99, 'detect_accur': 0.43434343434343436, 'transmission_time': 16.141074895858765, 'send_rounds': 5, 'speed': 619.5374263807952, 'qrcode_type': 3, 'use_compress': 1}
2024-11-10 19:22:47 - {'err_cnt': 51, 'all_cnt': 111, 'detect_accur': 0.4594594594594595, 'transmission_time': 17.59480094909668, 'send_rounds': 6, 'speed': 568.3497090379645, 'qrcode_type': 3, 'use_compress': 1}
